id,composition,Eg
479,Li1Si6Bi1O14,3.9631
480,Lu1H3,0.03670000000000062
481,Na1Tl1O1,0.1816
482,K1F3,0.6421000000000001
484,Mg1Al2C2,1.7218999999999998
485,Na2Cr1H2F8,1.8334
486,Cu1H1O2,0.5390999999999999
487,Cu1Bi1O2,0.8635999999999999
488,Ca1Nd2Ti2Mn2O12,1.3364000000000005
489,Ca1Mn2O4,1.524
490,Zn1Cr2O4,1.5494999999999997
491,Zn1Co1F5,1.5869
492,Ca1Ni1F5,2.0976
493,Ce1O2,1.9556
494,C1N2,4.6433
495,Cs1Y1P4O12,5.5177000000000005
496,Te1Mo2Se2S1,0.3118999999999996
498,Na1Ni1N1,0.1730999999999998
499,Te2Mo1W1Se1S1,0.9864000000000002
500,Tb2O3,3.9006
501,Pb1S1,0.5556000000000001
502,Ni1Cl2O2,0.4716
503,Ba2Cd1As2,0.3878999999999997
504,Na4Zn1Se3,1.6877
505,Ba1Tb1Ag1S3,1.0051
506,Sb1Ir1Se1,1.2113000000000005
507,Sc1Ag1Hg2,0.0804999999999998
508,K1Nd1Te4,0.14970000000000014
509,V6O7F5,0.7286000000000001
510,K1Mn2Cr2O10,0.15510000000000002
511,Cs2K1Pr1Cl6,5.0013000000000005
512,Cs2Pr1Cu1Br6,2.0604000000000005
513,Li4Mn3O7,0.4469999999999996
517,Li2Fe3W1O8,1.3138
518,Li2Mn3Sn1O8,0.5568999999999997
519,Fe4O3F5,1.1445
520,Dy2Pt2O7,1.4061000000000003
521,Sr1H16O10,3.3048
522,V2Ni1P2H6O13,1.8679
523,Ca1Al1O2F4,0.2029
524,Li1H2N1,3.9371
525,Li1In1W2O8,3.3852
526,Cs2Cu2Sb2S5,1.1033999999999995
527,La2Mn1Se2O2,1.6504000000000003
528,Cu1S2N2O14,0.10480000000000013
529,Cs3H12N4F3,4.8312
530,Ba2Ge1Sb4S10,1.4007999999999998
531,Tl1V1P1O6,0.2723
532,V4Cr2O13,2.2838
533,Li2V2P2O11,1.7685
534,Rb2Nb2Si2O11,0.5219
535,Ca1Ti1Ge1O5,2.7149
536,Zr3Tl2Cu2S8,0.7043000000000004
537,Zn1H6,3.242900000000001
538,U1Sn1I6,0.0676000000000001
539,Rb1Cu1P3O9,0.7229000000000001
540,Nb1Tl1Cl6,2.1491
541,Nd3Tm2Ga3O12,3.1024000000000003
542,Li2Zn2Mo3O12,3.1504
543,Lu1Be1N1F6,1.8884
544,Li1N6O6,0.1269
545,K2La1I5,2.7388
546,La7V2B1O17,2.8351
547,La1Ga1Ge2O7,2.8911
548,Cs2Na1Ga1P2,1.3344999999999998
549,Cd2Hg2H1S2O10,1.0521
550,Ba5Ho2Zr1Al2O13,2.5600000000000005
551,As1Ru1S1,0.9006999999999996
552,Ba3Dy1B3O9,3.8454
553,Zr2Ti1Pb3O9,2.8913
554,Y2Be1Al1B1O7,5.0791
555,Tl1Bi1Te2,0.0801999999999996
556,Ti1Al1Fe1O5,2.1902000000000004
557,V1H6S1O10,0.1549
558,Ta1Mn1Nb1O6,2.5615
559,Sr3Ca2P3O12F1,5.314
560,Nd2Nb1Ga1O7,2.2495
561,Na1Zr1Sc1O4,3.6648
562,Na1Ta4Bi5O18,2.9571
563,Na1Nd3Ti2Sb2O14,2.1527
564,Na1Nb1W1O6,2.8572
565,Na3W2Cl4O4,0.3235999999999999
566,Pb5W3O9F10,1.0983000000000005
567,Na2Ge1Te1O6,2.7761000000000005
568,Na2As1P1H8O10,4.0698
569,Li1Nd1Se2,0.07570000000000032
570,Li1B1H4,6.209
571,La1Sm3O6,3.7731
572,Li2U1Br6,0.16810000000000014
573,La1Co1Sb1Pb1O6,2.2293000000000003
574,K1Bi1S2,1.4658000000000002
575,K2Br1Cl1,4.4921
576,Gd1B1O3,2.6507000000000005
577,Dy1Sb1Te3,0.8720000000000008
578,Er2Mn1S4,0.1275000000000004
579,Cu1Bi5S8,0.5007999999999999
580,Cd1Pb1S2,1.092899999999999
581,Ca1Mn1Fe1Bi1O6,0.6463000000000001
582,Ba3La1Nb3O12,2.6407000000000003
583,Al1Cr4Ag1S8,0.3534000000000006
584,Pr2Mg1Se4,1.5347
585,Gd2Mg1S4,1.2497000000000005
586,Al2O3,3.3923999999999994
588,Hf1O2,3.401
589,Rb7V1N4,0.016000000000000014
590,Na1Pt1N1,0.5455999999999994
591,Si2Se1N2,2.9422
592,Y4S3N2,2.1703
593,Al1In1N2,1.5164999999999995
594,Sr5V2N6,0.3460000000000001
595,Rb3B1N2,1.2186
596,Sr3Sb3N5,1.4396
597,Na1Al1Si2H2O7,4.7274
598,Mg2V2Si3O12,1.7748000000000004
599,Al1W1O3,0.4683999999999999
600,Li1Ca1Ga1F6,6.4009
601,Sr1Hf1O3,3.9893
602,Na1Sr1P1,1.2357
603,Cd1Rh2O4,0.8489000000000004
604,Zn1Ag1P3O9,3.0283
605,Rb9Fe2S7,0.5314999999999999
606,Sr1Ge1O3,3.387
607,Cs1Nd1P4O12,5.3018
608,Sn1W1O4,0.9213000000000005
609,K2Zr3O1F12,5.4251
610,Ca2P2O7,5.5021
611,Ca2U1O5,2.1379
612,Sm3Ti3Se2O8,0.03230000000000022
613,Na5Sn1P3,0.9406
614,Rb2Na1Mn3F12,1.8267
615,Na1Tm1Ge1O4,3.6153
616,Na1Mn1Cr1F6,3.2799
617,Lu2Mn2O7,1.0159000000000002
618,Y1Mn1O3,0.000399999999999956
619,Ba1Mo1O4,4.1465999999999985
620,Li1V1O3,3.0330000000000004
621,P1Pb1Se3,1.6507
622,Ge3Ru2,0.3814000000000002
623,Gd1V1O4,2.9685
624,Ba1Pb1O3,0.3054000000000001
625,Co3B2O6,2.1633
626,Cs1Br1,4.2433
627,I1F5,4.6815
628,B1Cl1F6,3.3033
629,Rb1I1O4,2.4311000000000003
630,Sn1H8N2F6,5.1147
631,Nd1H2Cl1O2,4.8667
632,K1P1H2O4,5.2102
